State,Heart
WA,31.9913636364
USM,39.0672727273
DE,26.2568181818
WI,24.2336363636
WV,25.01
HI,30.6718181818
FL,30.3840909091
WY,24.9363636364
NH,26.8363636364
NJ,29.9427272727
NM,29.6122727273
TX,30.0790909091
LA,27.0336363636
NC,28.5409090909
ND,24.675
NE,29.2227272727
TN,24.5313636364
NY,29.225
PA,26.8495454545
AK,26.4709090909
NV,26.5931818182
VA,26.8927272727
CO,29.0118181818
CA,32.5190909091
AL,29.3340909091
AR,26.6504545455
VT,24.7672727273
IL,26.1163636364
GA,27.6513636364
IN,28.1090909091
IA,26.3759090909
MA,27.0072727273
AZ,27.1954545455
ID,25.5259090909
CT,27.1359090909
ME,25.8959090909
MD,27.3454545455
OK,30.1468181818
OH,26.7304545455
UT,29.0681818182
MO,26.1672727273
MN,25.23
MI,28.9486363636
RI,25.66
KS,32.3454545455
MT,26.0777272727
MS,27.8990909091
SC,29.4940909091
KY,26.5172727273
OR,25.9531818182
SD,23.4040909091
