State,Heart
WA,9.84181818182
USM,10.5890909091
DE,9.36909090909
WI,8.34545454545
WV,10.2945454545
HI,8.09272727273
FL,10.0190909091
WY,8.07363636364
NH,7.36090909091
NJ,10.1736363636
NM,10.6427272727
TX,10.9363636364
LA,11.2154545455
NC,10.6618181818
ND,8.24545454545
NE,9.34090909091
TN,10.0790909091
NY,11.1563636364
PA,9.39727272727
RI,8.93545454545
NV,10.1763636364
VA,9.87
CO,7.85636363636
AK,6.56454545455
AL,10.9527272727
AR,10.4545454545
VT,6.09454545455
IL,9.27909090909
GA,10.71
IN,10.3245454545
IA,8.63454545455
MA,9.64272727273
AZ,10.6890909091
CA,11.1654545455
ID,7.14545454545
CT,9.31181818182
ME,7.56909090909
MD,9.97454545455
OK,11.4845454545
OH,10.3209090909
UT,7.69727272727
MO,10.2654545455
MN,8.62636363636
MI,10.5981818182
KS,10.52
MT,6.82636363636
MS,11.0572727273
SC,10.9045454545
KY,10.0109090909
OR,8.39636363636
SD,7.96727272727
