State,Heart
WA,31.0672727273
USM,31.1036363636
DE,30.4645454545
WI,31.3013636364
WV,30.3040909091
HI,31.5731818182
FL,30.4536363636
WY,26.1545454545
NH,28.8836363636
NJ,30.54
NM,30.6018181818
TX,31.1577272727
LA,30.4718181818
NC,30.5063636364
ND,28.435
NE,30.6077272727
TN,29.3454545455
NY,30.8954545455
PA,30.7754545455
CA,31.1731818182
NV,29.6836363636
VA,30.8568181818
CO,30.9204545455
AK,29.7445454545
AL,30.1868181818
AR,30.2368181818
VT,27.1477272727
IL,29.6790909091
GA,30.6859090909
IN,30.9754545455
IA,30.98
MA,31.3154545455
AZ,30.27
ID,26.6222727273
CT,30.7631818182
ME,28.6540909091
MD,31.0154545455
OK,30.9054545455
OH,30.7109090909
UT,30.7890909091
MO,31.145
MN,30.7245454545
MI,31.7345454545
RI,30.3890909091
KS,31.2522727273
MT,27.0936363636
MS,27.7272727273
SC,31.0163636364
KY,30.2618181818
OR,30.8922727273
SD,27.8140909091
