State,Heart
WA,78.4418181818
USM,74.3181818182
DE,68.3990909091
WI,70.7963636364
WV,61.0245454545
HI,72.49
FL,71.7854545455
WY,62.3954545455
NH,63.4127272727
NJ,72.5236363636
NM,69.8372727273
TX,71.6463636364
LA,64.2236363636
NC,73.1309090909
ND,61.8454545455
NE,74.2772727273
TN,57.6454545455
NY,72.18
PA,72.2536363636
AK,72.9090909091
NV,74.7209090909
VA,74.08
CO,80.9463636364
CA,79.4818181818
AL,65.9663636364
AR,62.3054545455
VT,59.0890909091
IL,70.7272727273
GA,70.6136363636
IN,66.4163636364
IA,67.7436363636
MA,74.6181818182
AZ,72.4436363636
ID,63.9154545455
CT,74.5609090909
ME,66.4081818182
MD,75.2909090909
OK,68.2663636364
OH,71.6772727273
UT,77.2736363636
MO,65.4909090909
MN,76.2454545455
MI,74.06
RI,69.7554545455
KS,73.3509090909
MT,64.0136363636
MS,58.0381818182
SC,69.9518181818
KY,63.5381818182
OR,67.8254545455
SD,61.9745454545
