State,Heart
WA,16.1136363636
USM,18.4154545455
DE,17.2536363636
WI,18.7390909091
WV,25.8554545455
HI,14.1254545455
FL,15.9436363636
WY,19.1354545455
NH,13.71
NJ,15.0518181818
NM,17.2981818182
TX,15.9627272727
LA,20.6972727273
NC,17.6718181818
ND,18.5181818182
NE,17.7872727273
TN,18.8736363636
NY,15.6690909091
PA,20.4627272727
AK,19.2109090909
NV,17.6390909091
VA,17.8654545455
CO,16.4227272727
CA,12.9127272727
AL,19.2090909091
AR,21.4163636364
VT,14.9545454545
IL,14.6509090909
GA,16.5481818182
IN,20.9990909091
IA,18.8272727273
MA,15.6445454545
AZ,15.0027272727
ID,13.67
CT,14.7372727273
ME,19.1981818182
MD,14.3945454545
OK,20.7290909091
OH,21.6481818182
UT,9.29090909091
MO,20.8218181818
MN,18.0345454545
MI,21.0509090909
RI,15.6181818182
KS,19.3945454545
MT,19.4145454545
MS,20.2654545455
SC,19.5272727273
KY,24.5545454545
OR,16.1745454545
SD,18.18
